ID,PRE_POST2010,Arrest_Year,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Lat,Long,Lon_Lat
262,POST,2015,19-Oct-15,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120053H,F,S,121,45-64,M,BLACK,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
263,POST,2015,25-Oct-15,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120053H,F,S,120,25-44,F,BLACK,40.63725264,-74.07664578,POINT (-74.07664577799993 40.63725263600002)
264,POST,2016,2-Feb-16,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 160101H,F,S,120,18-24,M,WHITE,40.64075492,-74.07674709,POINT (-74.07674708799993 40.64075491800003)
265,POST,2016,13-Feb-16,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,121,25-44,M,BLACK,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
266,POST,2016,13-Feb-16,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,121,25-44,M,BLACK,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
267,POST,2016,13-Feb-16,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,121,25-44,M,BLACK,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
268,POST,2016,13-Feb-16,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,121,25-44,M,BLACK,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
269,POST,2016,15-Mar-16,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 145051H,F,S,120,25-44,M,BLACK,40.62384889,-74.08197986,POINT (-74.08197985899994 40.62384888900005)
270,POST,2016,13-Apr-16,112,MENACING 1ST DEGREE (VICT NOT PEACE OFFICER),126,MISCELLANEOUS PENAL LAW,PL 120141H,F,S,120,45-64,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
271,POST,2016,3-Jun-16,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120003H,F,S,120,18-24,F,BLACK,40.63372024,-74.07641834,POINT (-74.07641834199995 40.633720244000074)
272,POST,2016,9-Jun-16,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,121,45-64,M,WHITE HISPANIC,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
273,POST,2016,9-Jun-16,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,121,45-64,M,WHITE HISPANIC,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
274,POST,2016,9-Jun-16,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,121,45-64,M,WHITE HISPANIC,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
275,POST,2016,24-Jun-16,112,MENACING 1ST DEGREE (VICT NOT PEACE OFFICER),126,MISCELLANEOUS PENAL LAW,PL 120130H,F,S,120,25-44,M,WHITE HISPANIC,40.63487258,-74.08492619,POINT (-74.08492618999998 40.63487257600008)
276,POST,2016,27-Oct-16,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 240250H,M,S,123,18-24,M,BLACK,40.54402853,-74.16502541,POINT (-74.16502541299997 40.54402852700008)
277,POST,2016,2-Nov-16,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,120,18-24,M,ASIAN / PACIFIC ISLANDER,40.62706089,-74.07714923,POINT (-74.07714923199995 40.627060894000074)
278,POST,2016,12-Nov-16,263,"ARSON 2,3,4",114,ARSON,PL 150150H,F,S,121,25-44,M,BLACK,40.63807818,-74.13184275,POINT (-74.13184274799994 40.63807818300006)
279,POST,2016,17-Nov-16,112,MENACING 1ST DEGREE (VICT NOT PEACE OFFICER),126,MISCELLANEOUS PENAL LAW,PL 120130H,F,S,120,18-24,M,BLACK,40.63776877,-74.07648063,POINT (-74.07648062699997 40.63776876600008)
280,POST,2016,30-Dec-16,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 145052H,F,S,122,45-64,M,WHITE,40.59850062,-74.10258951,POINT (-74.10258950899998 40.59850061600008)
281,POST,2017,17-Feb-17,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,25-44,F,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
282,POST,2017,22-Feb-17,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,120,25-44,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
283,POST,2017,22-Feb-17,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTER,PL 125271H,F,S,120,25-44,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
284,POST,2017,13-Mar-17,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,25-44,F,WHITE,40.61388804,-74.1168727,POINT (-74.11687269699996 40.61388804300003)
285,POST,2017,13-Mar-17,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,25-44,F,WHITE,40.61388804,-74.1168727,POINT (-74.11687269699996 40.61388804300003)
286,POST,2017,24-Apr-17,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 155304H,F,S,123,25-44,M,BLACK,40.51158634,-74.24930373,POINT (-74.24930372699998 40.51158633800003)
287,POST,2017,9-May-17,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 155250H,F,S,122,25-44,F,BLACK,40.55764406,-74.12984145,POINT (-74.12984144699995 40.55764405900004)
288,POST,2017,18-May-17,269,"MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG",121,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 145001H,F,S,121,25-44,M,BLACK,40.63421236,-74.13751689,POINT (-74.13751688699995 40.63421236100004)
289,POST,2017,2-Aug-17,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120001H,F,S,120,18-24,M,BLACK,40.63966331,-74.07550633,POINT (-74.07550633399995 40.63966331300003)
290,POST,2017,2-Aug-17,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120001H,F,S,120,18-24,M,BLACK,40.63966331,-74.07550633,POINT (-74.07550633399995 40.63966331300003)
291,POST,2017,23-Aug-17,397,"ROBBERY,UNCLASSIFIED,OPEN AREA",105,ROBBERY,PL 16010AH,F,S,120,18-24,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
292,POST,2017,24-Aug-17,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 160102H,F,S,120,18-24,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
293,POST,2017,19-Oct-17,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004H,F,S,123,25-44,M,WHITE,40.54769311,-74.21759397,POINT (-74.21759396999995 40.54769311200005)
294,POST,2017,4-Nov-17,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120001H,F,S,120,25-44,F,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
295,POST,2017,12-Nov-17,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 155250H,F,S,120,<18,M,BLACK HISPANIC,40.62069641,-74.11001528,POINT (-74.11001527799993 40.620696413000076)
296,POST,2017,15-Nov-17,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240304H,F,S,120,25-44,F,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
297,POST,2017,15-Nov-17,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240304H,F,S,120,25-44,F,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
298,POST,2017,5-Dec-17,269,"MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG",121,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 145001H,F,S,120,45-64,M,WHITE,40.64402415,-74.07646257,POINT (-74.07646257399993 40.64402414800003)
299,POST,2018,11-Feb-18,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 120150H,M,S,120,25-44,M,WHITE HISPANIC,40.62477867,-74.07906667,POINT (-74.07906666799995 40.62477866900008)
300,POST,2018,26-Feb-18,223,"BURGLARY,RESIDENCE,NIGHT",107,BURGLARY,PL 140304H,F,S,122,45-64,M,WHITE,40.57428569,-74.10591441,POINT (-74.10591440499996 40.57428568800003)
301,POST,2018,13-Jun-18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120001H,F,S,120,18-24,M,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
302,POST,2018,30-Jun-18,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 120150H,M,S,122,18-24,M,WHITE,40.57789524,-74.09308662,POINT (-74.09308662299998 40.577895239000036)
303,POST,2018,30-Jun-18,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 120150H,M,S,122,<18,M,WHITE,40.57789524,-74.09308662,POINT (-74.09308662299998 40.577895239000036)
304,POST,2018,30-Jun-18,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 120150H,M,S,122,18-24,M,WHITE,40.57789524,-74.09308662,POINT (-74.09308662299998 40.577895239000036)
305,POST,2018,2-Jul-18,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 120200H,F,S,123,18-24,M,WHITE,40.53433411,-74.19301177,POINT (-74.193011771 40.53433411000003)
306,POST,2018,2-Jul-18,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 120200H,F,S,123,18-24,M,WHITE,40.53433411,-74.19301177,POINT (-74.193011771 40.53433411000003)
307,POST,2018,7-Aug-18,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 240250H,M,S,121,25-44,F,BLACK,40.63736583,-74.13310242,POINT (-74.13310241599999 40.637365831000075)
308,POST,2018,21-Aug-18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120051H,F,S,120,25-44,M,WHITE,40.64075492,-74.07674709,POINT (-74.07674708799993 40.64075491800003)
309,POST,2018,14-Oct-18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 121120H,F,S,121,25-44,M,BLACK HISPANIC,40.63327999,-74.14133399,POINT (-74.14133398799999 40.63327999300003)
310,POST,2018,14-Oct-18,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 240250H,M,S,120,25-44,F,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
311,POST,2018,21-Oct-18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120003H,F,S,120,45-64,M,WHITE,40.62693778,-74.11589765,POINT (-74.11589765399998 40.62693778400006)
312,POST,2018,5-Dec-18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120001H,F,S,120,<18,M,BLACK,40.63400869,-74.09782703,POINT (-74.09782703299999 40.63400869400005)
313,POST,2018,15-Dec-18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,122,18-24,F,WHITE HISPANIC,40.57414013,-74.10600777,POINT (-74.10600776499997 40.57414012800007)
314,POST,2018,26-Dec-18,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 160050H,F,S,120,25-44,M,WHITE,40.61903772,-74.0687291,POINT (-74.06872910199996 40.61903771900006)
315,POST,2019,8-Feb-19,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 160050H,F,S,120,25-44,M,WHITE,40.64502275,-74.07721685,POINT (-74.07721684699999 40.64502274600005)
316,POST,2019,17-May-19,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 121120H,F,S,120,25-44,M,BLACK HISPANIC,40.64187903,-74.09661345,POINT (-74.09661344599994 40.64187902900005)
317,POST,2019,12-Sep-19,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,45-64,M,WHITE,40.62674268,-74.1076584,POINT (-74.10765840399995 40.62674268000006)
318,POST,2019,2-Oct-19,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145003H,F,S,121,25-44,F,WHITE,40.62322682,-74.14922697,POINT (-74.14922697299994 40.62322681900008)
319,POST,2019,2-Oct-19,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,45-64,M,WHITE,40.64270648,-74.0767169,POINT (-74.07671690299999 40.64270648100006)
320,POST,2019,18-Nov-19,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,121,25-44,M,BLACK,40.63898418,-74.1712523,POINT (-74.17125230499994 40.638984176000065)
321,POST,2020,7-Jan-20,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145050H,F,S,120,25-44,M,WHITE HISPANIC,40.636525,-74.11623137,POINT (-74.11623137199997 40.63652500300003)
322,POST,2020,30-Apr-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,121,45-64,F,WHITE HISPANIC,40.63558689,-74.16510051,POINT (-74.16510050699996 40.635586887000045)
323,POST,2020,20-May-20,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 121120H,F,S,122,25-44,M,BLACK,40.56201074,-74.11187649,POINT (-74.11187649199996 40.56201074400008)
324,POST,2020,4-Jun-20,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,45-64,M,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
325,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
326,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
327,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
328,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
329,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
330,POST,2020,13-Aug-20,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120059H,F,S,120,25-44,M,BLACK HISPANIC,40.63935117,-74.08613535,POINT (-74.08613535099995 40.63935117200003)
331,POST,2020,2-Oct-20,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120002H,F,S,123,18-24,M,ASIAN / PACIFIC ISLANDER,40.51158634,-74.24930373,POINT (-74.24930372699998 40.51158633800003)
332,POST,2020,28-Nov-20,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 14500AH,F,S,120,25-44,F,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
333,POST,2020,3-Dec-20,112,MENACING 1ST DEGREE (VICT NOT,126,MISCELLANEOUS PENAL LAW,PL 120141H,F,S,120,18-24,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
334,POST,2021,3-Sep-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120002H,F,S,122,25-44,M,BLACK,40.58526606,-74.10159711,POINT (-74.10159710799998 40.58526606300006)
335,POST,2021,10-Aug-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120001H,F,S,121,25-44,M,BLACK,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
336,POST,2021,6-Jun-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,120,45-64,M,WHITE,40.61181316,-74.06444646,POINT (-74.06444645899995 40.61181315500005)
337,POST,2021,8-Apr-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,122,45-64,M,WHITE,40.55191421,-74.15732258,POINT (-74.15732258099996 40.55191421400008)
338,POST,2021,27-Jan-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120051H,F,S,120,45-64,M,WHITE,40.60810041,-74.06755096,POINT (-74.06755095899997 40.60810040900003)
339,POST,2021,23-Jan-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,122,45-64,F,BLACK HISPANIC,40.57962586,-74.10722606,POINT (-74.10722605899997 40.579625864000036)
340,POST,2021,22-Feb-21,112,MENACING 1ST DEGREE (VICT NOT,126,MISCELLANEOUS PENAL LAW,PL 120141H,F,S,120,18-24,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
341,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
342,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
343,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.6297865,-74.11071477,POINT (-74.11071476799998 40.62978649600007)
344,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
345,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
346,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
347,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
348,POST,2021,14-Jan-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,18-24,M,BLACK HISPANIC,40.63063262,-74.11825304,POINT (-74.11825303599994 40.63063262000002)
